Station	Date	Tmin	Tmax	Tavg	I
613500	26/09/2018	10.9	15.3	13.2	2.8
613500	27/09/2018	12.6	18.1	15.5	6.7
613500	28/09/2018	9	13.6	11.2	11.8
613500	29/09/2018	5.8	13.8	10.4	8.6
613500	30/09/2018	10.3	14.5	12.4	7.3
613500	01/10/2018	5.3	12.8	9.4	10.5
613500	02/10/2018	6.9	9.6	8.4	1.5
613500	03/10/2018	7.9	13.7	10.5	11.6
613500	04/10/2018	5.7	15.3	11	4.8
613500	05/10/2018	10.4	15.5	13.4	4.6
613500	06/10/2018	5.9	15.6	10.9	6.6
613500	07/10/2018	6.1	11.9	9	10.1
613500	08/10/2018	6	12.8	10.6	5.3
613500	09/10/2018	9.8	15.1	12.6	9
613500	10/10/2018	6	18.5	12.4	10
613500	11/10/2018	12.3	18.4	14.5	9.8
613500	12/10/2018	12.2	19.5	15.2	9
613500	13/10/2018	13.2	21.8	17.4	8.9
613500	14/10/2018	12.3	17.9	15.3	9.1
613500	15/10/2018	9.7	19	14	8.9
613500	16/10/2018	8.1	19.1	13	8.1
613500	17/10/2018	8.5	18.4	12.9	7.1
613500	18/10/2018	6.7	13.8	11.3	8.2
613500	19/10/2018	1.5	12.3	7.4	7
613500	20/10/2018	6.9	13.1	10.4	6.5
613500	21/10/2018	4.6	13.4	10.7	3.1
613500	22/10/2018	8.2	12.9	10.2	7.7
613500	23/10/2018	9.2	12.7	10.9	4.4
613500	24/10/2018	7	10.2	8.8	7.8
613500	25/10/2018	8.1	11.5	10.2	6.6
613500	26/10/2018	4.3	10.7	8.4	2.1
613500	27/10/2018	0.1	8	4.5	4.4
613500	28/10/2018	-1.7	4.6	1.4	7
613500	29/10/2018	2	6.5	4.5	2.5
613500	30/10/2018	4.9	15.4	9.4	3.5
613500	31/10/2018	5.6	9.9	7.8	3.4
613500	01/11/2018	5.9	12.5	9	5
613500	02/11/2018	4.4	11.4	8.4	2.8
613500	03/11/2018	2.9	10.2	6.2	5.7
613500	04/11/2018	2.5	9.7	6.7	2.7
613500	05/11/2018	7.9	10.1	9.3	0.9
613500	06/11/2018	4.9	10.1	8	2.7
613500	07/11/2018	5.1	11.5	7.7	3.5
613500	08/11/2018	2	11.8	6.7	3.1
613500	09/11/2018	2.1	10	7.4	2.1
613500	10/11/2018	7.6	10.2	8.9	1.8
613500	11/11/2018	9.4	11.3	10.3	2.1
613500	12/11/2018	8.5	10.4	9.7	1.2
613500	13/11/2018	7	10.4	9.1	2.1
613500	14/11/2018	8.4	9.9	9.1	2.1
613500	15/11/2018	6.5	11.1	8.7	3.9
613500	16/11/2018	3.4	9.2	6.3	4.1
613500	17/11/2018	0	6.4	3.4	3.8
613500	18/11/2018	0.3	7.3	4.1	2.5
613500	19/11/2018	3.2	5.7	4.4	1.7
613500	20/11/2018	3.1	5.5	4.3	1.6
613500	21/11/2018	3.6	6.1	4.8	2.8
613500	22/11/2018	1.4	4.9	3.6	1.3
613500	23/11/2018	0.1	1.5	0.9	0.5
613500	24/11/2018	1.2	3.2	2.1	0.7
613500	25/11/2018	-0.2	3.4	2.1	0.8
613500	26/11/2018	-4.5	2.9	-0.9	3.4
613500	27/11/2018	-3.7	0.5	-1.7	3.3
613500	28/11/2018	-1.1	3.4	1.2	3.1
613500	29/11/2018	1.1	4.1	2.4	0.5
613500	30/11/2018	3.5	5.8	4.5	1.1
613500	01/12/2018	3.4	6.9	5.6	0.7

11/01/2018	1.7	3.4	2.6	0.5
12/01/2018	0.7	2.3	1.7	0.8
13/01/2018	-1	1.9	0.6	0.8
14/01/2018	-2.2	0.1	-0.9	1.1
15/01/2018	-1.7	2.4	0.3	1.5
16/01/2018	0.8	3.7	2.3	1.4
17/01/2018	0.9	2.1	1.3	1.1
18/01/2018	0.2	2.1	1.1	0.6
19/01/2018	0.1	2.7	1.5	1.4
20/01/2018	0.3	2	1.4	0.7
21/01/2018	-2.6	2.4	-0.2	2.7
22/01/2018	-1.1	0.3	-0.2	1.1
23/01/2018	-0.3	5	1.5	1.1
24/01/2018	4.9	10.5	7.7	0.8
25/01/2018	4.4	6.3	5.5	1.4
26/01/2018	2.4	4.9	3.5	1.7
27/01/2018	3.25	6.4	4.95	1.4
28/01/2018	3.25	6.4	4.95	1.4
29/01/2018	4.1	7.9	6.4	1.1
30/01/2018	3.2	5.8	4.4	3.8
