ScreenName	Uinsulation	heatingCost	lampCost	co2Cost	transpiration	condensation	ventedWater	screen1	screen2	screen3	light1	light2	light3	energySaving	iteration	step
character	character	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LS_Tempa_6562_D	1.6	0.638615	0.645076	24.8464	1732.3	-718.062	-933.479	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	77	175200
LS_Tempa_6562_D	3.2	0.69832	0.645076	23.9115	1707.1	-714.604	-910.625	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	78	175200
LS_Tempa_6562_D	6.4	0.769952	0.645076	23.1942	1684.08	-708.603	-892.738	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	79	175200
LS_Tempa_6562_D	12.8	0.839701	0.645076	22.8487	1669.45	-701.261	-884.83	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	80	175200
LS_Tempa_6562_D	25.6	0.895495	0.645076	22.7993	1663.74	-694.388	-885.598	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	81	175200
LS_Tempa_6360_FR_AW	0.05	0.548791	0.645076	27.4258	1726.0	-658.824	-985.632	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	82	175200
LS_Tempa_6360_FR_AW	0.1	0.551941	0.645076	27.2736	1723.06	-661.604	-982.906	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	83	175200
LS_Tempa_6360_FR_AW	0.2	0.558676	0.645076	27.0392	1724.44	-666.702	-978.661	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	84	175200
LS_Tempa_6360_FR_AW	0.4	0.571317	0.645076	26.613	1725.44	-675.575	-970.637	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	85	175200
LS_Tempa_6360_FR_AW	0.8	0.594342	0.645076	25.9733	1725.69	-688.01	-957.862	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	86	175200
LS_Tempa_6360_FR_AW	1.6	0.632651	0.645076	25.0809	1721.87	-702.219	-939.072	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	87	175200
LS_Tempa_6360_FR_AW	3.2	0.690037	0.645076	24.1087	1708.37	-709.995	-916.859	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	88	175200
LS_Tempa_6360_FR_AW	6.4	0.76145	0.645076	23.3349	1688.01	-707.461	-898.043	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	89	175200
LS_Tempa_6360_FR_AW	12.8	0.832675	0.645076	22.9816	1675.06	-701.749	-890.103	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	90	175200
LS_Tempa_6360_FR_AW	25.6	0.890526	0.645076	22.9472	1671.33	-695.993	-891.735	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.6	91	175200
LS_Tempa_5557_D	0.05	0.528764	0.645076	28.3316	1798.56	-700.761	-1020.25	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	92	175200
LS_Tempa_5557_D	0.1	0.532443	0.645076	28.1847	1797.35	-702.404	-1017.26	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	93	175200
LS_Tempa_5557_D	0.2	0.538978	0.645076	27.8805	1794.6	-705.694	-1010.95	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	94	175200
LS_Tempa_5557_D	0.4	0.551958	0.645076	27.3996	1789.67	-710.713	-1000.51	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	95	175200
LS_Tempa_5557_D	0.8	0.575284	0.645076	26.6229	1780.19	-717.776	-983.254	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	96	175200
LS_Tempa_5557_D	1.6	0.615841	0.645076	25.5839	1761.23	-722.264	-958.786	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	97	175200
LS_Tempa_5557_D	3.2	0.676152	0.645076	24.4414	1732.23	-720.39	-930.399	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	98	175200
LS_Tempa_5557_D	6.4	0.749337	0.645076	23.5404	1704.59	-715.111	-906.943	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	99	175200
LS_Tempa_5557_D	12.8	0.823741	0.645076	23.1552	1689.12	-707.75	-898.15	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	100	175200
LS_Tempa_5557_D	25.6	0.885184	0.645076	23.1568	1684.98	-700.333	-900.977	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.57	101	175200
LS_Tempa_5555_FR_AW	0.05	0.529299	0.645076	28.3185	1794.54	-697.536	-1019.44	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	102	175200
LS_Tempa_5555_FR_AW	0.1	0.532903	0.645076	28.1788	1793.63	-699.367	-1016.51	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	103	175200
LS_Tempa_5555_FR_AW	0.2	0.539559	0.645076	27.8889	1791.22	-702.667	-1010.5	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	104	175200
LS_Tempa_5555_FR_AW	0.4	0.552605	0.645076	27.4152	1786.88	-708.046	-1000.37	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	105	175200
LS_Tempa_5555_FR_AW	0.8	0.575825	0.645076	26.631	1777.81	-715.667	-982.975	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	106	175200
LS_Tempa_5555_FR_AW	1.6	0.615811	0.645076	25.578	1760.01	-721.377	-958.428	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	107	175200
LS_Tempa_5555_FR_AW	3.2	0.676024	0.645076	24.4336	1731.64	-720.091	-930.13	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	108	175200
LS_Tempa_5555_FR_AW	6.4	0.749347	0.645076	23.5491	1704.43	-714.832	-907.061	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	109	175200
LS_Tempa_5555_FR_AW	12.8	0.823726	0.645076	23.1613	1689.06	-707.628	-898.189	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	110	175200
LS_Tempa_5555_FR_AW	25.6	0.884961	0.645076	23.1603	1684.9	-700.33	-900.94	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.55	111	175200
LS_Solaro_7530_O_E_AW	0.05	0.546586	0.645076	27.0818	1776.8	-716.426	-982.435	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	112	175200
LS_Solaro_7530_O_E_AW	0.1	0.550335	0.645076	26.9654	1775.44	-717.286	-980.023	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	113	175200
LS_Solaro_7530_O_E_AW	0.2	0.557422	0.645076	26.7036	1772.06	-718.823	-974.744	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	114	175200
LS_Solaro_7530_O_E_AW	0.4	0.571593	0.645076	26.3086	1765.51	-720.126	-966.383	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	115	175200
LS_Solaro_7530_O_E_AW	0.8	0.596826	0.645076	25.669	1752.49	-720.408	-952.308	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	116	175200
LS_Solaro_7530_O_E_AW	1.6	0.639082	0.645076	24.8286	1732.23	-718.554	-932.879	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	117	175200
LS_Solaro_7530_O_E_AW	3.2	0.698952	0.645076	23.8965	1707.02	-714.907	-910.253	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	118	175200
