iteration.end	fileName.end	atEnd.end	density.thresholdGen.end	frequencies.thresholdGen.end	K_maxValue.end	coverage_maxValue.end	proportion_bounds_logP.end	q_bounds_logP.end	maxMortality.end	slope.end	resistanceGain.end	R.end	fitnessPenalty.end
110	scenarios.txt	FALSE	30	15	17606.1	0.370268	-5.1787	-5.10259	0.982056	7.0459	0.713812	6.03999	0.1203
111	scenarios.txt	FALSE	30	12	18275.3	0.423821	-5.96624	-5.90835	0.987252	9.60875	0.624843	15.8297	0.349132
112	scenarios.txt	FALSE	30	30	16321.2	0.371792	-2.80102	-4.24358	0.927161	6.42921	0.425448	17.5998	0.243762
113	scenarios.txt	FALSE	30	11	13974.4	0.617605	-2.55537	-4.6157	0.902372	6.14234	0.756948	11.1656	0.273639
114	scenarios.txt	FALSE	18	30	14504.4	0.117494	-4.21852	-5.82041	0.983023	5.53159	0.17128	25.5898	0.208643
115	scenarios.txt	FALSE	30	30	14899.7	0.543487	-3.37304	-5.23226	0.989045	1.58062	0.34732	2.49503	0.332329
116	scenarios.txt	FALSE	30	18	16643.3	0.457705	-4.6248	-4.22996	0.965076	5.57199	0.424269	46.7673	0.303654
117	scenarios.txt	FALSE	30	11	15939.1	0.670416	-3.46326	-4.21912	0.962706	6.32501	0.664035	21.3346	0.203129
118	scenarios.txt	FALSE	30	30	10759.7	0.102275	-2.28676	-4.11159	0.973068	5.3234	0.101991	25.5184	0.146294
119	scenarios.txt	FALSE	30	19	16696.3	0.815637	-5.21866	-4.11737	0.932033	2.53156	0.629524	8.27331	0.39056
120	scenarios.txt	FALSE	30	30	10016.3	0.270134	-5.06384	-4.67354	0.931233	2.42991	0.757834	9.08998	0.271631
121	scenarios.txt	FALSE	9	30	19610.6	0.791882	-2.63	-4.62746	0.931358	5.15814	0.263931	43.3428	0.0898525
122	scenarios.txt	FALSE	30	30	18216.8	0.425009	-2.45636	-4.69661	0.916162	7.24656	0.473951	39.1973	0.151805
123	scenarios.txt	FALSE	25	12	14104.8	0.872737	-4.2709	-5.3069	0.942342	9.38179	0.249927	47.4789	0.239051
124	scenarios.txt	FALSE	30	30	18378.9	0.29466	-3.75346	-5.572	0.908276	2.47798	0.482632	8.83176	0.189033
125	scenarios.txt	FALSE	30	30	15841.5	0.261427	-5.12007	-5.52735	0.905515	4.29486	0.277235	7.00656	0.326366
126	scenarios.txt	FALSE	12	15	18049.9	0.284267	-3.34906	-4.5992	0.959911	9.72604	0.831042	23.4579	0.194802
127	scenarios.txt	FALSE	30	30	12552.8	0.233509	-4.53323	-5.7145	0.952222	5.07647	0.612059	25.9313	0.255727
128	scenarios.txt	FALSE	26	24	18928.1	0.827758	-5.04764	-4.84954	0.971614	3.54532	0.212325	24.2391	0.104989
129	scenarios.txt	FALSE	30	20	13115.7	0.819936	-4.49583	-5.64146	0.963515	9.33641	0.416462	4.99037	0.336096
