minute	indoorsCo2	indoorsRh	indoorsTemperature	growthLight	heating	photosynthesis
774	646.286	72.9445	19.4109	0	83.7454	0.0702427
775	647.97	72.9269	19.4174	0	83.7301	0.0705215
776	649.61	72.9094	19.4238	0	83.7148	0.0707993
777	651.207	72.8919	19.4303	0	83.6994	0.071076
778	643.762	72.8745	19.4368	0	83.6841	0.0711857
779	645.537	72.857	19.4433	0	83.6687	0.0714652
780	647.265	72.8397	19.4498	0	83.6533	0.0717423
781	648.947	72.8223	19.4564	0	83.638	0.0720145
782	650.592	72.8075	19.4623	0	83.6226	0.0713875
783	643.203	72.7982	19.4669	0	83.6086	0.0705946
784	645.04	72.7928	19.4706	0	83.5976	0.0699728
785	646.839	72.7906	19.4736	0	83.5888	0.0693499
786	648.6	72.7911	19.4759	0	83.5818	0.068726
787	650.324	72.7939	19.4777	0	83.5763	0.068101
788	643.012	72.7986	19.479	0	83.5721	0.0673183
789	644.923	72.805	19.48	0	83.569	0.0666981
790	646.793	72.8128	19.4806	0	83.5668	0.0660768
791	648.624	72.8218	19.4809	0	83.5654	0.0654542
792	650.417	72.8319	19.4809	0	83.5646	0.0648306
793	643.171	72.8428	19.4808	0	83.5645	0.0640573
794	645.145	72.8544	19.4804	0	83.5649	0.0634381
795	647.078	72.8667	19.4799	0	83.5657	0.0628175
796	648.97	72.8796	19.4793	0	83.5668	0.0621958
797	650.823	72.8928	19.4786	0	83.5684	0.061573
798	643.634	72.9065	19.4777	0	83.5701	0.0608089
799	645.663	72.9205	19.4768	0	83.572	0.0601901
800	647.65	72.9347	19.4758	0	83.5742	0.05957
801	649.595	72.9492	19.4748	0	83.5766	0.0589488
802	651.5	72.9639	19.4737	0	83.579	0.0583264
803	644.361	72.9787	19.4725	0	83.5817	0.057571
804	646.439	72.9937	19.4713	0	83.5844	0.0569523
