Date	GlobRad	Tmin	Tmax	VP	WindSpeed	Rain	AvgPar30
23/09/2013	9.67	22.21	27.73	0.339274248	0.77	7.61	8.675
24/09/2013	18.55	21.34	28.31	0.37014404	0.9	2.11	8.6655
25/09/2013	18.58	23.53	27.92	0.2562568	1.04	2.76	8.714
26/09/2013	18.18	22.88	26.81	0.205988597	1	6.07	8.79566666666667
27/09/2013	11.53	21.13	28.01	0.45968258	0.98	6.35	8.72916666666667
28/09/2013	19.42	21.87	27.53	0.397774565	0.57	2.59	8.82533333333333
29/09/2013	19.12	21.6	29.14	0.512986252	0.57	11.58	8.86666666666667
30/09/2013	20.62	21.73	28.75	0.55832845	0.55	16.49	8.83966666666667
01/10/2013	21.95	22.09	26.65	0.242430444	1.02	6.13	8.8825
02/10/2013	19.29	22.02	27.19	0.252038755	0.98	16.82	8.8955
03/10/2013	18.99	22.59	27.55	0.279466429	1.18	17.49	8.8605
04/10/2013	21.61	21.45	28.3	0.368392508	1.01	5.94	8.8785
05/10/2013	20.84	22.35	27.48	0.29297425	0.94	5.91	8.83666666666667
06/10/2013	19.98	22.45	28.11	0.340030657	0.8	12.32	8.81766666666667
07/10/2013	20.6	22.03	27.52	0.259522005	0.88	16.65	8.861
08/10/2013	18.43	21.64	28.06	0.371621215	1.12	5.12	8.83983333333333
09/10/2013	20.07	22.62	27.77	0.346398867	1.31	0.31	8.90283333333333
10/10/2013	11.06	22.92	26.89	0.217572025	1.23	0.81	8.7465
11/10/2013	20.4	21.44	28.32	0.467660102	1.02	4.76	8.78016666666667
12/10/2013	21.13	21.97	28.27	0.419136379	1.16	2.63	8.84316666666667
13/10/2013	17.51	21.85	26.36	0.296278043	1.25	0.93	8.80733333333333
14/10/2013	20.23	20.75	27.62	0.376979251	1.13	2.11	8.915
15/10/2013	17.79	21.28	28.23	0.459482124	0.82	5.37	8.9365
16/10/2013	19.43	22.32	28.76	0.344028505	0.57	18.15	8.9655
17/10/2013	16.21	22.66	26.63	0.34283605	0.58	3.71	8.95983333333333
18/10/2013	17.95	21.74	27.04	0.287664203	0.82	7.04	8.97866666666667
19/10/2013	20.42	22.11	27.83	0.496376382	0.66	12.32	9.13983333333333
20/10/2013	19.19	20.98	27.05	0.244979417	1.03	9.53	9.1855
21/10/2013	20.32	20.8	26.95	0.202718649	1.29	9.3	9.20033333333333
22/10/2013	16.77	21.5	26.2	0.201777738	0.89	13.25	9.264
23/10/2013	14.52	20.91	27.27	0.267692234	0.92	10.56	9.34483333333333
24/10/2013	14.52	21.52	27.67	0.330682272	1.14	5.91	9.27766666666667
25/10/2013	15.27	20.84	26.48	0.262118955	1.25	6.9	9.2225
26/10/2013	15.78	21.38	26.11	0.316605579	1.03	3.26	9.1825
27/10/2013	16.29	21.45	26.21	0.200197397	0.88	5.69	9.26183333333333
28/10/2013	15.07	21.68	26.66	0.245365294	1.01	2.09	9.18933333333333
29/10/2013	9.33	22.55	26.06	0.175522941	1.42	5.59	9.02616666666667
30/10/2013	18.4	21.78	28.06	0.406093723	1.43	0.57	8.98916666666667
31/10/2013	12.58	22.91	28.7	0.386476016	1.22	1.14	8.833
01/11/2013	20.54	21.61	28.62	0.425779728	1.02	1.4	8.85383333333333
02/11/2013	21.16	21.18	27.98	0.445683238	0.79	2.15	8.89
03/11/2013	17.45	21.34	27.48	0.511240066	0.47	1.61	8.82066666666667
04/11/2013	21.61	19.79	27.91	0.625998928	0.7	1.51	8.8335
05/11/2013	21.4	19.63	28.03	0.595976791	0.8	0.82	8.85716666666667
06/11/2013	18.77	20.56	28.98	0.574997032	0.66	0.52	8.82666666666667
07/11/2013	19.31	22.33	27.43	0.32972938	0.55	3.78	8.84133333333333
08/11/2013	17.28	21.72	27.32	0.322535051	0.93	8.15	8.79483333333333
09/11/2013	14.84	22.39	26.57	0.238167298	1.01	3.89	8.85783333333333
10/11/2013	11.55	21.82	25.4	0.23326512	1.32	2.55	8.71033333333333
11/11/2013	8.97	21.63	25.81	0.272532285	1.7	0.68	8.50766666666667
12/11/2013	18.3	21.55	28.04	0.399188847	1.66	1.84	8.52083333333333
13/11/2013	15.56	21.47	27.62	0.364056358	1.75	1.12	8.443
14/11/2013	14.5	21.08	25.71	0.192385081	1.56	15.23	8.38816666666667
15/11/2013	13.36	20.87	26.71	0.263590509	1.53	7.68	8.287
16/11/2013	15.49	22.07	27.42	0.37916782	1.58	0.08	8.275
17/11/2013	16.32	21.6	28.2	0.420489877	1.37	0.13	8.24783333333333
18/11/2013	14.62	21.55	28.24	0.439077775	1.27	0.02	8.15116666666667
19/11/2013	21.89	19.87	27.72	0.50508635	0.99	0.8	8.19616666666667
20/11/2013	18.44	21.2	27.42	0.36274573	0.97	4.57	8.16483333333333
21/11/2013	19.46	21.17	27.37	0.363869606	1.07	2.54	8.20966666666667
22/11/2013	17.3	21.11	27.72	0.365073442	1.16	1.78	8.256
23/11/2013	13.74	21.29	27.38	0.395393634	1.34	1.35	8.243
24/11/2013	18.47	20.65	27.55	0.427657181	1.35	1.15	8.29633333333333
25/11/2013	18.11	19.73	27.78	0.428219899	1.23	0.99	8.33516666666667
26/11/2013	15.55	21.27	27.33	0.375361615	0.94	0.62	8.32283333333333
27/11/2013	18.26	21.75	27.71	0.421278377	1.34	1.43	8.376
28/11/2013	12.96	20.16	26.32	0.413606887	2.23	1.96	8.4365
29/11/2013	17.58	20.82	26.89	0.371818208	1.58	2.62	8.42283333333333
30/11/2013	13.86	20.7	26.64	0.402651074	1.82	2.75	8.44416666666667
01/12/2013	18.48	19.5	26.64	0.406137231	1.58	0.97	8.40983333333333
02/12/2013	18.68	18.79	27.12	0.40698998	1.08	0.35	8.3685
03/12/2013	18.01	19.69	27.67	0.431775508	0.8	0.02	8.37783333333333
04/12/2013	18.57	20.31	27.5	0.4264095	1.08	0.04	8.32716666666667
05/12/2013	18.66	19.51	27.36	0.425842094	1.32	0.15	8.2815
06/12/2013	16.69	20.53	28.06	0.433368675	1.41	0.55	8.24683333333333
07/12/2013	11.6	21.87	27.6	0.332652667	1.62	3.23	8.11833333333333
08/12/2013	19.11	21.05	26.95	0.372065051	1.65	2.72	8.14883333333333
09/12/2013	14.67	19.95	26.94	0.371846744	1.54	2.32	8.146
10/12/2013	17.62	19.74	27.4	0.467300181	1.47	0.92	8.24716666666667
11/12/2013	14.16	19.91	27.79	0.435927843	1.59	1.38	8.33366666666667
